"Anodizado"
"Fecha: 10-Jan-2014 10:20:27"
""
"6.000000e+001	3.611260e-003"
"6.000000e+001	3.608860e-003"
"6.000000e+001	3.569430e-003"
"6.000000e+001	3.586230e-003"
"6.000000e+001	3.615770e-003"
"6.000000e+001	3.615480e-003"
"6.000000e+001	3.615520e-003"
"6.000000e+001	3.607560e-003"
"6.000000e+001	3.602470e-003"
"6.000000e+001	3.569750e-003"
"6.000000e+001	3.596050e-003"
"6.000000e+001	3.607950e-003"
"6.000000e+001	3.612800e-003"
"6.000000e+001	3.605380e-003"
"6.000000e+001	3.604450e-003"
"6.000000e+001	3.601360e-003"
"6.000000e+001	3.571830e-003"
"6.000000e+001	3.586340e-003"
"6.000000e+001	3.610740e-003"
"6.000000e+001	3.598340e-003"
"6.000000e+001	3.599950e-003"
"6.000000e+001	3.597960e-003"
"6.000000e+001	3.591300e-003"
"6.000000e+001	3.560310e-003"
"6.000000e+001	3.589660e-003"
"6.000000e+001	3.598550e-003"
"6.000000e+001	3.598180e-003"
"6.000000e+001	3.600740e-003"
"6.000000e+001	3.601940e-003"
"6.000000e+001	3.595320e-003"
"6.000000e+001	3.565110e-003"
"6.000000e+001	3.575950e-003"
"6.000000e+001	3.598850e-003"
"6.000000e+001	3.596200e-003"
"6.000000e+001	3.594640e-003"
"6.000000e+001	3.591300e-003"
"6.000000e+001	3.573660e-003"
"6.000000e+001	3.550590e-003"
"6.000000e+001	3.587660e-003"
"6.000000e+001	3.587290e-003"
"6.000000e+001	3.595990e-003"
"6.000000e+001	3.590160e-003"
"6.000000e+001	3.585150e-003"
"6.000000e+001	3.576030e-003"
"6.000000e+001	3.550750e-003"
"6.000000e+001	3.574940e-003"
"6.000000e+001	3.596760e-003"
"6.000000e+001	3.587070e-003"
"6.000000e+001	3.583330e-003"
"6.000000e+001	3.587360e-003"
"6.000000e+001	3.562670e-003"
"6.000000e+001	3.551010e-003"
"6.000000e+001	3.592490e-003"
"6.000000e+001	3.591230e-003"
"6.000000e+001	3.584220e-003"
"6.000000e+001	3.587620e-003"
"6.000000e+001	3.584020e-003"
"6.000000e+001	3.576890e-003"
"6.000000e+001	3.544610e-003"
"6.000000e+001	3.572600e-003"
"6.000000e+001	3.579570e-003"
"6.000000e+001	3.578460e-003"
"6.000000e+001	3.577720e-003"
"6.000000e+001	3.579140e-003"
"6.000000e+001	3.562660e-003"
"6.000000e+001	3.540540e-003"
"6.000000e+001	3.572480e-003"
"6.000000e+001	3.578370e-003"
"6.000000e+001	3.577860e-003"
"6.000000e+001	3.576300e-003"
"6.000000e+001	3.582340e-003"
"6.000000e+001	3.563790e-003"
"6.000000e+001	3.542920e-003"
"6.000000e+001	3.580690e-003"
"6.000000e+001	3.579450e-003"
"6.000000e+001	3.578920e-003"
"6.000000e+001	3.579890e-003"
"6.000000e+001	3.579080e-003"
"6.000000e+001	3.554330e-003"
"6.000000e+001	3.538120e-003"
"6.000000e+001	3.567190e-003"
"6.000000e+001	3.571730e-003"
